bsn,name,rah,ram,ras,decd,decm,decs,glon,glat,vmag,vmag rank,spectype,specnum
6366,,17,8,48,-30,24,13,354.33,5.83,5.97,4910,A/FmDel Del,0
7937,17    Cap,20,46,10,-21,30,51,24.38,-34.37,5.93,4698,A0,0
2455,,6,39,36,-23,41,44,233.11,-13.02,6.05,5313,A0,0
2755,,7,15,48,-23,44,26,236.79,-5.58,6.32,7113,A0,0
7842,,20,32,52,-24,56,38,19.33,-32.54,6.36,7467,A0,0
3060,,7,51,0,-24,31,42,241.37,1.08,6.45,8074,A0,0
7156,,18,59,11,-39,32,5,357.20,-18.27,6.49,8343,A0,0
8214,5    PsA,21,29,4,-31,14,19,14.98,-46.02,6.50,8401,A0,0
4073,,10,21,36,-22,31,42,263.18,28.54,6.51,8425,A0,0
2952,,7,38,24,-39,59,29,253.54,-8.88,6.59,8728,A0,0
5146,,13,41,31,-23,26,59,317.55,38.00,6.59,8736,A0,0
3255,,8,16,54,-21,19,13,241.80,7.83,6.60,8763,A0,0
7155,,18,58,21,-24,52,36,11.17,-12.48,6.62,8808,A0,0
4556,,11,54,12,-57,24,36,295.26,4.61,6.06,5391,A0-1:III,0
8249,,21,38,3,-64,49,27,328.10,-41.63,6.20,6326,A0-1IV,0
3334,Eta Vol,8,22,4,-73,24,0,286.66,-19.82,5.29,2280,A0-1IV-V,0
5561,,14,56,36,-39,24,58,327.79,17.34,6.36,7443,A0-1V,0
4579,,11,58,54,-25,54,32,288.40,35.48,6.43,7955,A0-1V,0
6000,,16,8,34,-39,5,35,339.53,9.38,6.65,8859,A0-3III,0
7415,,19,30,33,3,26,40,40.50,-7.09,6.05,5346,A0eShell,0
1040,,3,29,55,58,52,43,142.19,2.06,4.54,942,A0Ia,0
964,,3,15,48,57,8,27,141.57,-0.41,5.79,4008,A0Ia,0
2074,,5,56,56,24,14,59,185.32,-0.22,6.02,5148,A0Ia,0
6825,,18,15,31,-18,39,41,12.31,-0.82,6.07,5461,A0Ia,0
4228,,10,48,5,-59,55,9,288.04,-0.66,6.00,5047,A0Ia-Iab,0
386,,1,23,47,78,43,33,124.57,15.96,6.07,5426,A0Iab,0
4169,,10,37,27,-58,44,0,286.29,-0.26,5.45,2705,A0Iae,0
3975,30Eta Leo,10,7,20,16,45,46,219.53,50.75,3.52,292,A0Ib,0
2385,13    Mon,6,32,54,7,19,59,204.30,-0.75,4.50,893,A0Ib,0
6619,,17,45,40,31,30,17,56.40,26.94,6.23,6515,A0Ib,0
4049,,10,18,8,-28,59,31,266.85,22.93,5.34,2405,A0Ib-IIp,0
2435,,6,34,59,-52,58,32,261.93,-23.73,4.39,791,A0II,0
7145,36Xi 1Sgr,18,57,21,-20,39,23,14.99,-10.50,5.08,1786,A0II,0
5403,,14,28,44,-59,11,52,315.11,1.35,6.45,8098,A0II-III,0
5291,11Alp Dra,14,4,23,64,22,33,110.52,50.96,3.65,344,A0III,0
3981,15Alp Sex,10,7,56,0,22,18,241.11,42.07,4.49,888,A0III,0
6161,15    Dra,16,27,59,68,46,5,101.11,37.87,5.00,1622,A0III,0
7601,,19,54,31,24,19,10,61.60,-1.87,5.52,2948,A0III,0
8487,,22,13,49,45,26,27,96.12,-9.07,5.53,2983,A0III,0
7596,58    Aql,19,54,45,0,16,25,40.55,-13.92,5.61,3279,A0III,0
1795,,5,26,49,34,23,30,173.25,-0.43,5.94,4722,A0III,0
273,,0,58,31,66,21,8,123.64,3.49,5.97,4877,A0III,0
2950,,7,40,7,5,13,51,213.79,13.20,6.02,5153,A0III,0
6253,,16,55,25,-63,16,11,326.67,-12.31,6.02,5185,A0III,0
7903,,20,39,11,21,49,2,65.20,-11.82,6.08,5510,A0III,0
7775,,20,20,47,-14,47,6,29.12,-26.32,6.10,5635,A0III,0
4881,,12,51,58,-26,44,17,303.08,36.13,6.15,5967,A0III,0
7338,,19,19,1,37,26,43,69.49,11.09,6.22,6463,A0III,0
6354,,17,6,53,-26,30,47,357.24,8.47,6.29,6903,A0III,0
2709,,7,25,22,81,15,27,132.74,28.08,6.31,7032,A0III,0
1382,,4,27,1,57,35,7,148.74,5.96,6.32,7103,A0III,0
6952,Kap1CrA,18,33,23,-38,43,13,356.00,-13.33,6.32,7155,A0III,0
704,71    Cet,2,24,58,-2,46,48,169.53,-56.93,6.33,7182,A0III,0
8434,,22,6,14,56,20,35,101.47,0.52,6.39,7714,A0III,0
2362,,6,30,6,9,1,45,202.47,-0.58,6.57,8656,A0III,0
7782,,20,19,48,37,7,57,75.31,0.48,6.57,8680,A0III,0
444,,1,33,4,-9,0,53,153.38,-69.39,6.59,8714,A0III,0
422,,1,27,47,40,20,8,130.39,-22.01,6.60,8752,A0III,0
4218,,10,47,38,-15,15,43,263.88,38.05,6.67,8891,A0III,0
5061,,13,27,6,-49,8,38,308.91,13.31,6.31,7053,A0III-IV,0
8389,,21,59,23,57,39,30,101.51,2.13,6.59,8749,A0III-IV,0
3962,,10,3,41,-25,19,0,261.61,23.80,6.70,8928,A0III-IV,0
8695,22Gam PsA,22,52,32,-32,52,32,13.06,-63.72,4.46,863,A0III*,0
2969,,7,44,4,50,26,2,167.94,28.72,5.27,2226,A0IIIn,0
5514,55    Hya,14,47,23,-25,37,28,333.34,30.32,5.63,3334,A0IIIp,0
8180,The2Mic,21,24,25,-41,0,24,0.89,-45.64,5.77,3942,A0IIIpSi,0
1465,Alp Dor,4,33,60,-55,2,42,263.83,-41.42,3.27,227,A0IIISi,0
2421,24Gam Gem,6,37,43,16,23,57,196.77,4.45,1.93,43,A0IV,0
5367,Psi Cen,14,20,33,-37,53,7,321.72,21.71,4.05,549,A0IV,0
191,Eta Phe,0,43,21,-57,27,47,305.08,-59.63,4.36,760,A0IV,0
5724,,15,25,20,-38,44,1,333.09,14.96,4.60,1008,A0IV,0
4789,23    Com,12,34,51,22,37,45,262.15,84.14,4.81,1274,A0IV,0
4874,,12,50,41,-33,59,58,302.75,28.87,4.91,1447,A0IV,0
4604,,12,4,39,-68,19,45,298.62,-5.85,5.35,2437,A0IV,0
7531,,19,50,45,-59,11,35,338.02,-30.55,5.42,2628,A0IV,0
2180,,6,8,58,-22,25,39,229.01,-19.00,5.50,2861,A0IV,0
7211,,19,4,25,-31,2,49,5.88,-16.16,5.50,2883,A0IV,0
3983,Mu 1Cha,10,0,44,-82,12,53,297.28,-21.29,5.52,2935,A0IV,0
3875,,9,43,42,-53,53,30,277.43,-0.59,5.56,3074,A0IV,0
8407,,22,2,57,44,39,0,94.08,-8.58,5.60,3246,A0IV,0
4317,Chi2Hya,11,5,58,-27,17,16,275.82,29.97,5.71,3643,A0IV,0
4002,,10,9,31,-68,41,0,289.05,-10.29,5.81,4119,A0IV,0
71,,0,18,38,31,31,2,114.79,-30.84,5.87,4336,A0IV,0
4124,33    LMi,10,31,51,32,22,46,194.53,59.39,5.90,4522,A0IV,0
2075,,5,56,28,9,30,35,198.09,-7.65,5.99,4987,A0IV,0
4217,,10,46,17,-60,36,12,288.16,-1.37,6.25,6623,A0IV,0
4880,,12,52,5,-48,5,39,303.05,14.78,6.33,7220,A0IV,0
1510,,4,50,36,70,56,30,140.05,16.55,6.37,7491,A0IV,0
7256,,19,9,36,-36,9,53,1.28,-19.02,6.56,8638,A0IV,0
2838,,7,26,4,-4,32,15,220.95,5.59,6.76,8979,A0IV,0
8573,57Sig Aqr,22,30,39,-10,40,41,52.49,-53.05,4.82,1310,A0IV s,0
4947,,13,6,54,-35,51,43,306.44,26.91,6.54,8559,A0IV-III,0
2754,,7,12,2,-63,11,24,274.00,-21.77,6.02,5151,A0IV-V,0
3038,,7,44,13,-69,49,17,281.85,-20.97,6.18,6156,A0IV-V,0
6683,,17,57,58,-39,8,13,352.48,-7.37,6.29,6906,A0IV-V,0
3267,,8,18,13,-37,22,27,255.33,-0.88,6.70,8924,A0IV+G:,0
3302,Kap2Vol,8,20,1,-71,30,19,284.82,-19.03,5.65,3397,A0IVMn,0
1261,47Lam Per,4,6,35,50,21,5,151.63,-1.32,4.29,700,A0IVn,0
7400,35    Aql,19,29,1,1,57,1,38.99,-7.45,5.80,4094,A0IVp,0
5351,19Lam Boo,14,16,23,46,5,18,86.97,64.67,4.18,622,A0p,0
5466,,14,41,1,-36,8,6,326.50,21.67,5.67,3480,A0p:,0
5971,14Iot CrB,16,1,27,29,51,4,48.30,48.46,4.99,1597,A0p:Hg:,0
7028,,18,39,53,52,11,46,81.31,22.82,6.00,5071,A0p:Hg:,0
4905,77Eps UMa,12,54,2,55,57,35,122.18,61.16,1.77,32,A0pCr,0
234,,0,50,18,45,0,8,122.72,-17.87,6.15,5928,A0pCr,0
5355,,14,18,38,-18,42,58,330.06,39.52,5.90,4529,A0pCrEu,0
6179,,16,38,2,-6,32,17,10.04,25.74,6.09,5552,A0pCrEu,0
8911,8Kap Psc,23,26,56,1,15,20,83.92,-55.08,4.94,1513,A0pCrSi:Sr:,0
7552,,19,51,51,-39,52,28,0.03,-28.05,5.33,2394,A0pCrSr:,0
6386,,17,12,14,-25,15,17,358.98,8.23,6.54,8564,A0pHg,0
8915,69    Peg,23,27,40,25,10,2,99.98,-33.94,5.98,4975,A0pHgMn,0
2095,37The Aur,5,59,43,37,12,45,174.34,6.73,2.62,104,A0pSi,0
5652,24Iot1Lib,15,12,13,-19,47,30,342.69,32.00,4.54,948,A0pSi,0
1638,11    Ori,5,4,34,15,24,15,186.18,-15.35,4.68,1095,A0pSi,0
2746,,7,13,13,-45,10,59,256.26,-15.30,4.89,1413,A0pSi,0
2683,,7,4,18,-56,44,59,267.11,-20.73,5.17,1984,A0pSi,0
5719,Ups Lup,15,24,45,-39,42,37,332.42,14.23,5.37,2484,A0pSi,0
1341,56    Tau,4,19,37,21,46,25,174.04,-19.83,5.38,2504,A0pSi,0
1732,,5,19,0,33,44,54,172.86,-2.13,5.41,2586,A0pSi,0
3082,,8,4,47,79,28,47,134.47,29.96,5.42,2616,A0pSi,0
3595,69Nu  Cnc,9,2,44,24,27,10,202.31,38.90,5.45,2701,A0pSi,0
2761,,7,14,46,-46,50,59,257.96,-15.71,5.72,3685,A0pSi,0
5619,,15,6,33,-30,55,8,334.30,23.60,5.96,4856,A0pSi,0
5731,,15,22,37,62,2,50,97.98,47.09,5.98,4963,A0pSi,0
3151,,8,0,29,-48,52,17,263.34,-9.77,6.12,5749,A0pSi,0
5697,,15,21,30,-38,13,9,332.75,15.81,6.48,8268,A0pSi,0
7224,,18,58,53,69,31,52,100.31,24.65,6.52,8485,A0pSi,0
6920,43Phi Dra,18,20,46,71,20,16,101.88,28.04,4.22,637,A0pSi:,0
4263,,10,55,1,-42,15,4,280.98,15.60,6.11,5682,A0pSiCr,0
6958,,18,32,7,3,39,35,34.00,5.96,6.43,7974,A0pSiCr,0
5158,,13,44,16,-51,0,47,311.35,10.99,6.47,8208,A0pSiCr,0
4101,45    Leo,10,27,39,9,45,45,233.13,51.94,6.04,5261,A0pSiCr:,0
4915,12Alp2CVn,12,56,2,38,19,6,118.29,78.77,2.90,157,A0pSiEuHg,0
596,113Alp Psc,2,2,3,2,45,49,155.35,-55.60,4.33,733,A0pSiSr,0
478,43    Cas,1,42,21,68,2,35,127.68,5.64,5.59,3179,A0pSiSr,0
4072,,10,24,8,65,33,59,143.54,45.22,4.97,1556,A0pSiSr:Hg:,0
5843,20Chi Ser,15,41,47,12,50,51,21.83,47.75,5.33,2388,A0pSr,0
2195,,6,11,1,-6,45,15,214.41,-12.05,6.15,5947,A0pSrCr,0
7879,73    Dra,20,31,30,74,57,17,108.43,20.04,5.20,2066,A0pSrCrEu,0
5623,,15,9,26,-63,38,34,317.55,-4.76,6.28,6835,A0pSrCrEu,0
4816,,12,39,17,35,57,7,138.51,80.81,6.45,8091,A0pSrCrEu,0
4854,,12,47,2,5,57,3,299.90,68.80,6.34,7296,A0pSrEuCr,0
9017,,23,48,39,64,52,35,116.33,2.81,6.41,7873,A0pSrSi:Cr:,0
5881,32Mu  Ser,15,49,37,-3,25,49,4.59,37.29,3.53,296,A0V,0
5511,109    Vir,14,46,15,1,53,34,355.28,52.68,3.72,369,A0V,0
8518,48Gam Aqr,22,21,39,-1,23,14,62.18,-45.84,3.84,432,A0V,0
3314,,8,25,40,-3,54,23,227.78,18.89,3.90,468,A0V,0
6324,58Eps Her,17,0,17,30,55,35,52.85,36.17,3.92,478,A0V,0
7590,Eps Pav,20,0,36,-72,54,38,322.02,-30.90,3.96,500,A0V,0
8576,17Bet PsA,22,31,30,-32,20,46,14.59,-59.32,4.29,712,A0V,0
8305,9Iot PsA,21,44,57,-33,1,33,12.88,-49.55,4.34,747,A0V,0
2414,5Xi 2CMa,6,35,3,-22,57,53,231.99,-13.68,4.54,944,A0V,0
9016,Del Scl,23,48,56,-28,7,49,25.18,-76.13,4.57,977,A0V,0
2034,136    Tau,5,53,20,27,36,44,182.01,0.77,4.58,979,A0V,0
6537,1Sig Ara,17,35,40,-46,30,20,343.98,-7.58,4.59,993,A0V,0
1762,,5,20,27,-21,14,22,223.35,-29.07,4.71,1134,A0V,0
125,Lam1Phe,0,31,25,-48,48,13,311.75,-67.98,4.77,1211,A0V,0
6070,,16,18,18,-28,36,50,348.56,15.41,4.78,1231,A0V,0
7891,29    Vul,20,38,31,21,12,4,64.59,-12.05,4.82,1308,A0V,0
4933,Xi 1Cen,13,3,33,-49,31,38,304.95,13.30,4.85,1356,A0V,0
7134,Lam Tel,18,58,28,-52,56,19,343.57,-22.35,4.87,1392,A0V,0
4828,30Rho Vir,12,41,53,10,14,8,294.88,72.96,4.88,1402,A0V,0
5489,,14,44,59,-35,11,31,327.73,22.15,4.92,1463,A0V,0
8865,95Psi3Aqr,23,18,58,-9,36,39,67.31,-62.02,4.98,1577,A0V,0
136,Bet3Tuc,0,32,44,-63,1,52,306.54,-53.97,5.09,1794,A0V,0
5386,,14,23,23,8,26,48,356.56,61.33,5.12,1870,A0V,0
5023,21    CVn,13,18,15,49,40,55,111.85,66.87,5.15,1941,A0V,0
5174,,13,46,56,-36,15,7,315.28,25.29,5.15,1942,A0V,0
4567,30Eta Crt,11,56,1,-17,9,3,284.47,43.73,5.18,2016,A0V,0
3460,The Vol,8,39,5,-70,23,13,284.68,-17.12,5.20,2054,A0V,0
3420,Eta Pyx,8,37,52,-26,15,18,248.66,8.96,5.27,2227,A0V,0
655,7    Tri,2,15,56,33,21,32,142.55,-26.27,5.28,2245,A0V,0
8087,25Chi Cap,21,8,34,-21,11,37,26.84,-39.21,5.30,2315,A0V,0
5558,,14,55,45,-33,51,21,330.53,22.27,5.32,2361,A0V,0
845,Gam2For,2,49,54,-27,56,30,221.64,-63.79,5.39,2531,A0V,0
3367,,8,31,31,-19,34,39,242.27,11.65,5.42,2617,A0V,0
4356,69    Leo,11,13,46,0,4,11,258.13,54.08,5.42,2620,A0V,0
5798,,15,38,50,-52,22,22,326.99,2.50,5.44,2674,A0V,0
6829,Phi Oct,18,23,36,-75,2,39,319.27,-24.38,5.47,2781,A0V,0
4781,21    Vir,12,33,47,-9,27,7,295.66,53.17,5.48,2806,A0V,0
2181,Pi 2Col,6,7,53,-42,9,14,249.16,-25.51,5.50,2862,A0V,0
3370,,8,27,17,-70,5,36,283.86,-17.80,5.53,2966,A0V,0
1849,10    Lep,5,31,8,-20,51,49,223.94,-26.61,5.55,3028,A0V,0
4502,,11,41,20,-43,5,45,289.57,17.95,5.55,3037,A0V,0
1718,18    Ori,5,16,4,11,20,29,191.30,-15.25,5.56,3065,A0V,0
5859,,15,45,24,5,26,49,13.27,43.32,5.58,3157,A0V,0
6291,24    Oph,16,56,48,-23,9,0,358.60,12.31,5.58,3159,A0V,0
7953,13    Del,20,47,48,6,0,30,52.78,-22.50,5.58,3167,A0V,0
2424,,6,35,24,-36,46,48,245.35,-18.84,5.59,3187,A0V,0
7779,Kap1Sgr,20,22,28,-42,2,59,358.75,-34.13,5.59,3209,A0V,0
5109,81    UMa,13,34,7,55,20,55,110.49,60.74,5.60,3236,A0V,0
1019,,3,24,30,33,32,9,156.09,-19.30,5.61,3255,A0V,0
7390,5    Vul,19,26,13,20,5,52,54.69,1.74,5.63,3344,A0V,0
4194,,10,42,43,-32,42,57,273.85,22.79,5.64,3365,A0V,0
8307,79    Cyg,21,43,26,38,17,2,87.11,-11.18,5.65,3424,A0V,0
8673,69Tau1Aqr,22,47,43,-14,3,23,51.06,-58.35,5.66,3458,A0V,0
1482,,4,41,24,48,18,3,157.06,1.28,5.67,3467,A0V,0
8300,77    Cyg,21,42,23,41,4,38,88.84,-8.96,5.69,3570,A0V,0
5238,86    UMa,13,53,51,53,43,43,103.76,61.01,5.70,3602,A0V,0
2194,Eta1Dor,6,6,9,-66,2,23,275.80,-29.19,5.71,3630,A0V,0
3927,,9,54,51,-50,14,38,276.43,3.32,5.72,3690,A0V,0
1683,,5,18,13,73,16,5,139.23,19.59,5.74,3756,A0V,0
7018,,18,37,34,62,31,36,92.27,25.43,5.74,3787,A0V,0
8002,76    Dra,20,42,35,82,31,52,115.73,23.46,5.75,3840,A0V,0
8246,,21,32,57,49,58,40,93.59,-1.24,5.75,3842,A0V,0
4428,,11,29,39,-24,27,48,280.16,34.77,5.76,3869,A0V,0
5567,,14,56,13,14,26,47,15.69,58.32,5.77,3921,A0V,0
8533,51    Aqr,22,24,7,-4,50,13,58.72,-48.44,5.78,3996,A0V,0
6572,,17,41,16,-46,55,19,344.13,-8.62,5.79,4044,A0V,0
2345,,6,24,14,-60,16,52,269.52,-26.63,5.80,4069,A0V,0
4796,,12,36,1,-39,52,12,299.72,22.91,5.80,4085,A0V,0
1590,98    Tau,4,58,9,25,3,1,177.24,-10.92,5.81,4112,A0V,0
2716,,7,11,42,-20,52,59,233.80,-5.11,5.84,4233,A0V,0
8844,,23,14,37,74,13,52,116.38,12.61,5.84,4255,A0V,0
3300,,8,22,55,-52,7,26,268.05,-8.49,5.85,4272,A0V,0
830,,2,48,46,25,11,17,153.91,-30.53,5.86,4308,A0V,0
3721,,9,17,27,-74,44,5,290.11,-17.49,5.86,4319,A0V,0
3963,,10,4,3,-18,6,6,256.32,29.24,5.86,4320,A0V,0
3783,,9,28,31,-66,42,7,284.74,-11.30,5.91,4562,A0V,0
2966,,7,41,35,3,37,29,215.43,12.81,5.94,4731,A0V,0
6506,,17,26,46,34,41,45,58.77,31.59,5.94,4751,A0V,0
7223,,19,6,56,-48,17,57,348.80,-22.36,5.97,4913,A0V,0
1758,,5,19,24,-27,22,8,229.99,-31.24,5.99,4986,A0V,0
1114,Tau For,3,38,48,-27,56,35,224.16,-53.08,6.01,5087,A0V,0
3549,,8,53,4,-56,38,58,274.35,-7.66,6.03,5217,A0V,0
1661,,5,6,37,-13,7,19,213.32,-29.10,6.05,5305,A0V,0
3341,,8,26,25,-52,48,27,268.92,-8.43,6.05,5321,A0V,0
185,Lam1Scl,0,42,43,-38,27,48,311.54,-78.52,6.06,5366,A0V,0
4669,,12,17,6,-65,41,34,299.41,-3.06,6.06,5394,A0V,0
1558,,4,54,51,44,3,39,161.81,0.32,6.08,5480,A0V,0
6035,,16,11,29,16,39,56,30.94,42.74,6.08,5505,A0V,0
2206,,6,11,14,-26,28,56,233.21,-20.02,6.09,5532,A0V,0
6061,,16,15,52,-14,50,57,359.07,25.04,6.09,5551,A0V,0
1137,,3,44,28,20,55,43,168.47,-26.26,6.10,5587,A0V,0
3964,,10,3,21,-46,38,10,275.34,7.03,6.12,5756,A0V,0
4347,Psi Crt,11,12,30,-18,30,0,272.49,38.45,6.13,5820,A0V,0
5858,26Tau8Ser,15,44,42,17,15,51,28.33,48.91,6.14,5905,A0V,0
1857,19    Cam,5,37,15,64,9,17,148.49,16.68,6.15,5943,A0V,0
4675,,12,17,47,-36,5,38,295.36,26.28,6.15,5964,A0V,0
4592,,12,1,29,-57,30,13,296.24,4.72,6.16,6029,A0V,0
4628,,12,10,3,-34,42,18,293.36,27.40,6.17,6095,A0V,0
8083,,21,7,45,-17,27,19,31.25,-37.77,6.17,6121,A0V,0
3348,,8,31,20,37,15,57,184.80,35.11,6.18,6159,A0V,0
3781,Zet1Ant,9,30,46,-31,53,22,260.70,14.07,6.18,6161,A0V,0
5197,,13,50,7,-29,4,53,318.07,32.06,6.18,6166,A0V,0
1972,,5,42,12,-30,32,8,235.12,-27.37,6.19,6212,A0V,0
4705,,12,22,11,24,46,26,231.00,83.02,6.19,6232,A0V,0
5016,,13,18,35,-51,17,10,307.25,11.36,6.19,6237,A0V,0
1692,,5,14,44,53,12,50,156.46,8.45,6.20,6280,A0V,0
3164,,8,5,37,27,31,47,194.34,27.50,6.21,6358,A0V,0
4571,,11,57,4,-33,18,55,290.06,28.19,6.21,6368,A0V,0
5952,,16,0,54,-40,26,7,337.51,9.39,6.21,6377,A0V,0
2626,,6,58,42,-45,46,5,255.83,-17.88,6.22,6427,A0V,0
4664,,12,16,24,-72,36,53,300.28,-9.92,6.22,6440,A0V,0
7177,,19,2,9,-41,54,36,355.04,-19.60,6.23,6518,A0V,0
380,,1,17,4,-66,23,53,298.90,-50.53,6.24,6529,A0V,0
4871,,12,50,20,-48,27,35,302.74,14.41,6.24,6564,A0V,0
6373,,17,16,36,-74,31,59,318.01,-20.12,6.25,6638,A0V,0
7290,55    Dra,19,9,46,65,58,43,96.82,22.80,6.25,6642,A0V,0
1818,The Pic,5,24,46,-52,18,59,259.56,-34.18,6.27,6738,A0V,0
3986,,10,8,36,-15,36,42,255.27,31.80,6.27,6761,A0V,0
5717,7    Ser,15,22,23,12,34,3,18.09,51.83,6.28,6839,A0V,0
2584,,6,55,35,8,19,29,205.98,4.70,6.29,6879,A0V,0
8342,,21,47,1,70,9,3,108.41,12.67,6.29,6922,A0V,0
8542,,22,26,11,-23,40,57,30.71,-57.13,6.29,6923,A0V,0
903,,2,59,38,-32,30,26,231.73,-61.79,6.31,7017,A0V,0
2211,,6,10,40,-45,16,55,252.67,-25.77,6.31,7027,A0V,0
3667,,9,13,26,-38,36,59,263.09,6.85,6.31,7041,A0V,0
5949,,15,55,50,58,54,42,91.08,45.17,6.31,7058,A0V,0
7384,,19,25,22,20,16,17,54.75,2.00,6.31,7076,A0V,0
8837,,23,14,14,50,37,4,107.59,-9.34,6.31,7088,A0V,0
1049,,3,26,12,-41,38,13,247.78,-55.30,6.32,7098,A0V,0
1237,,4,0,37,17,17,48,174.34,-26.15,6.32,7100,A0V,0
4651,,12,13,37,-33,47,34,294.00,28.42,6.33,7213,A0V,0
1966,,5,41,27,-33,24,2,238.18,-28.32,6.34,7270,A0V,0
5819,,15,39,21,-23,9,1,345.84,25.41,6.34,7302,A0V,0
8598,,22,33,17,70,22,26,111.76,10.56,6.34,7331,A0V,0
9019,,23,48,54,59,58,44,115.18,-1.95,6.34,7336,A0V,0
1018,,3,22,16,-25,35,16,219.04,-56.30,6.35,7344,A0V,0
3675,,9,15,25,-15,1,29,245.00,22.77,6.35,7363,A0V,0
853,,2,50,48,-39,55,54,248.01,-62.21,6.36,7416,A0V,0
3443,,8,39,13,-60,19,2,276.18,-11.33,6.36,7434,A0V,0
734,,2,28,4,-64,17,59,287.00,-49.73,6.37,7484,A0V,0
1650,,5,14,36,76,28,22,136.14,20.98,6.37,7495,A0V,0
5093,,13,33,36,-65,37,57,307.27,-3.12,6.37,7527,A0V,0
3019,,7,46,45,-12,40,31,230.59,6.17,6.39,7670,A0V,0
3542,,8,52,41,-52,7,45,270.80,-4.83,6.39,7675,A0V,0
4838,,12,43,59,-36,20,57,301.25,26.50,6.39,7684,A0V,0
9102,,0,4,20,-29,16,7,18.53,-79.41,6.40,7796,A0V,0
1234,,4,1,15,36,59,24,159.90,-11.91,6.41,7807,A0V,0
3103,,7,58,6,7,12,49,214.02,18.09,6.41,7825,A0V,0
6051,,16,14,29,-21,6,27,353.72,21.16,6.41,7845,A0V,0
945,,3,10,9,27,49,12,156.90,-25.75,6.42,7878,A0V,0
1724,,5,16,41,1,56,50,199.81,-19.99,6.42,7881,A0V,0
3463,,8,42,57,-35,56,36,257.10,3.97,6.42,7891,A0V,0
2658,,7,2,16,-43,24,15,253.77,-16.43,6.43,7936,A0V,0
6490,,17,26,55,-25,56,36,0.30,5.11,6.44,8033,A0V,0
8422,,22,5,51,45,6,44,94.77,-8.52,6.44,8044,A0V,0
7734,,20,14,5,36,36,19,74.23,1.14,6.45,8117,A0V,0
8201,,21,33,21,-80,2,21,311.99,-33.30,6.47,8227,A0V,0
6539,,17,35,43,-37,26,24,351.69,-2.75,6.48,8273,A0V,0
1578,,4,55,58,5,23,57,193.77,-22.63,6.50,8363,A0V,0
6744,,18,3,15,19,36,47,45.72,19.15,6.50,8391,A0V,0
1026,,3,25,9,41,15,26,151.58,-12.91,6.51,8409,A0V,0
2315,,6,25,47,2,16,20,207.97,-4.66,6.51,8415,A0V,0
598,,2,4,40,65,6,12,130.54,3.32,6.52,8457,A0V,0
4041,,10,18,10,27,24,55,203.42,56.08,6.52,8471,A0V,0
1888,,5,33,52,-29,50,56,233.78,-28.90,6.53,8496,A0V,0
3349,,8,27,27,-55,0,42,270.85,-9.55,6.53,8503,A0V,0
658,,2,15,28,-9,27,56,175.21,-63.45,6.55,8580,A0V,0
81,,0,20,55,10,58,37,110.93,-51.18,6.56,8611,A0V,0
2314,,6,27,51,47,24,19,167.36,15.89,6.56,8618,A0V,0
6610,,17,44,35,2,34,44,27.50,16.03,6.56,8634,A0V,0
2654,,7,4,20,1,29,18,213.08,3.55,6.57,8660,A0V,0
2250,,6,17,33,14,3,30,196.59,-0.94,6.59,8723,A0V,0
2889,,7,31,43,-35,53,16,249.25,-8.12,6.61,8784,A0V,0
990,,3,16,11,-30,49,39,228.37,-58.26,6.65,8844,A0V,0
2912,,7,34,29,-26,7,0,240.89,-2.95,6.65,8852,A0V,0
1524,,4,45,50,-34,0,18,235.96,-39.75,6.86,9021,A0V,0
3086,85    Gem,7,55,40,19,53,2,201.42,22.74,5.35,2430,A0V s,0
5959,50    Lib,16,0,48,-8,24,41,2.00,32.00,5.55,3045,A0V s,0
8358,,21,53,37,19,40,6,75.51,-26.41,5.68,3523,A0V s,0
1975,,5,43,22,-18,33,27,222.74,-23.08,5.73,3713,A0V s,0
5255,10    Boo,13,58,39,21,41,46,17.02,73.78,5.76,3872,A0V s,0
4187,39    UMa,10,43,43,57,11,57,150.95,52.42,5.80,4079,A0V s,0
3906,7    Sex,9,52,12,2,27,15,234.98,40.57,6.02,5163,A0V s,0
5422,,14,29,50,31,47,28,51.15,68.13,6.06,5399,A0V s,0
2133,,6,3,25,11,40,51,197.02,-5.10,6.08,5486,A0V s,0
2006,30    Cam,5,52,17,58,57,51,154.15,15.88,6.14,5876,A0V s,0
1039,,3,27,19,12,44,6,171.47,-35.06,6.28,6807,A0V s,0
2404,14    Mon,6,34,46,7,34,21,204.30,-0.23,6.45,8069,A0V s,0
76,,0,20,5,48,51,55,117.63,-13.68,6.52,8454,A0V s,0
7098,,18,49,44,31,37,45,61.51,14.17,6.64,8840,A0V s,0
6097,,16,23,57,-33,11,58,345.99,11.37,6.47,8215,A0V+A0V,0
4892,,12,49,7,83,25,5,123.01,33.71,5.85,4284,A0V+A2V,0
6149,10Lam Oph,16,30,55,1,59,2,17.12,31.85,3.82,416,A0V+A4V,0
6904,,18,24,59,27,23,43,55.30,17.51,6.27,6783,A0V+A4V,0
5846,,15,44,23,-41,49,10,334.19,10.32,5.94,4743,A0V+B,0
7588,,19,58,53,-68,45,44,326.85,-31.23,6.39,7706,A0V+F5IV,0
7571,,19,53,6,-14,36,11,26.38,-20.12,6.48,8283,A0V+F8IV,0
5793,5Alp CrB,15,34,41,26,42,53,41.87,53.77,2.23,69,A0V+G5V,0
7001,3Alp Lyr,18,36,56,38,47,1,67.44,19.24,0.03,5,A0Va,0
