bsn,name,rah,ram,ras,decd,decm,decs,glon,glat,vmag,vmag rank,spectype,specnum
2061,58Alp Ori,5,55,10,7,24,25,199.79,-8.96,0.50,10,M1-2Ia-Iab,6
2197,6    Gem,6,12,19,22,54,30,188.22,2.19,6.39,7664,M1-2Ia-Iab,6
6384,,17,14,13,-56,53,18,333.35,-10.48,6.09,5556,M1-2II-III+A,6
8092,Omi Pav,21,13,21,-70,7,35,323.27,-37.19,5.02,1666,M1-2III,6
6374,,17,11,39,-48,52,27,339.74,-5.54,5.84,4247,M1-2III,6
7350,,19,24,21,-43,43,23,354.48,-24.03,6.17,6116,M1-2III,6
4920,36    Com,12,58,55,17,24,34,313.41,80.13,4.78,1230,M1-IIIb,6
6134,21Alp Sco,16,29,24,-26,25,55,351.95,15.06,0.96,14,M1.5Iab-Ib+B4Ve,6
2028,,5,52,40,33,55,3,176.50,3.85,5.98,4939,M1.5II-III,6
3153,,7,59,38,-60,35,13,273.76,-15.61,5.17,1988,M1.5IIa,6
8834,90Phi Aqr,23,14,19,-6,2,56,70.94,-58.74,4.22,643,M1.5III,6
5150,82    Vir,13,41,37,-8,42,11,323.42,52.16,5.01,1641,M1.5III,6
5300,13    Boo,14,8,17,49,27,29,94.58,63.23,5.25,2183,M1.5III,6
5800,6Mu  CrB,15,35,15,39,0,36,62.81,54.03,5.11,1847,M1.5III-IIIb,6
911,92Alp Cet,3,2,17,4,5,23,173.32,-45.59,2.53,94,M1.5IIIa,6
4035,37    Leo,10,16,41,13,43,42,225.42,51.54,5.41,2592,M1.5IIIab,6
3876,,9,46,10,6,42,31,229.14,41.59,5.79,4026,M1.5IIIab,6
4127,46    Leo,10,32,12,14,8,14,227.68,55.08,5.46,2732,M1.5IIIbCa-1,6
2508,,6,47,37,-8,59,54,220.53,-4.93,5.07,1758,M1+Ib-IIa,6
8225,2    Peg,21,29,57,23,38,20,74.39,-19.70,4.57,974,M1+III,6
6693,,17,59,5,-30,15,11,0.36,-3.19,5.16,1966,M1Ib,6
3170,,8,4,16,-32,40,30,249.83,-0.69,5.31,2333,M1Ib,6
8164,,21,19,16,58,37,25,98.18,6.36,5.66,3456,M1Ibep+B2pe+B3V,6
4226,,10,47,39,-57,28,4,286.87,1.49,6.36,7439,M1II,6
8347,,21,49,19,61,16,22,102.77,5.75,6.17,6125,M1II-III,6
7673,Xi  Tel,20,7,23,-52,52,51,345.55,-32.57,4.94,1511,M1IIab,6
3696,,9,16,12,-57,32,29,277.12,-5.89,4.34,743,M1III,6
3718,The Pyx,9,21,30,-25,57,56,254.81,16.72,4.72,1150,M1III,6
5015,60Sig Vir,13,17,36,5,28,11,320.14,67.46,4.80,1265,M1III,6
2275,,6,19,60,-2,56,40,211.97,-8.34,4.90,1425,M1III,6
3923,,9,54,52,-19,0,34,255.24,27.09,4.94,1497,M1III,6
